StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,likelihood,gender,age,sunscreen,Stimuli_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"If this product were available at a store near you, for a reasonable price, how likely would you be to purchase it?",What is your gender?,What is your age?,How often do you typically wear sunscreen?,Stimuli - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID10""}","{""ImportId"":""BL_brz0xHowGUk4I9o_DO""}"
2026-04-10 0:04,2026-04-10 0:05,Survey Preview,,100,17,TRUE,2026-04-10 0:05,R_3cZU6AGgFEV4leF,,,,,49.2155,-123.1427,preview,EN,Extremely likely,Male,21-30,Some Days,bananaboat|likelihood
2026-04-10 0:06,2026-04-10 0:07,IP Address,108.172.108.122,100,14,TRUE,2026-04-10 0:07,R_5n21jLWQZWzylS9,,,,,49.2155,-123.1427,anonymous,EN,Somewhat unlikely,Female,41-50,Rarely,ironcoast|likelihood
2026-04-10 0:14,2026-04-10 0:18,IP Address,172.225.255.48,100,237,TRUE,2026-04-10 0:18,R_7iRaRCcmVKmOEsR,,,,,49.2476,-123.1234,anonymous,EN,Extremely unlikely,Male,21-30,Rarely,bananaboat|likelihood
2026-04-10 0:20,2026-04-10 0:23,IP Address,172.225.255.34,100,147,TRUE,2026-04-10 0:23,R_1yIO6xm9UitDeal,,,,,49.2476,-123.1234,anonymous,EN,Extremely likely,Male,21-30,Some Days,ironcoast|likelihood
2026-04-10 9:53,2026-04-10 9:54,IP Address,199.60.25.7,100,51,TRUE,2026-04-10 9:54,R_3IKHWfsMtU7xTFF,,,,,49.2999,-117.6745,anonymous,EN,Somewhat unlikely,Female,21-30,Most days,ironcoast|likelihood
2026-04-10 13:15,2026-04-10 13:16,IP Address,104.28.59.149,100,38,TRUE,2026-04-10 13:16,R_7rVGZPWL1SIL3VK,,,,,-12.0668,-75.2157,anonymous,EN,Somewhat unlikely,Female,50+,Everyday,bananaboat|likelihood
2026-04-10 20:49,2026-04-10 20:50,IP Address,200.48.213.196,100,50,TRUE,2026-04-10 20:50,R_7hAOLTAVkwkFxCo,,,,,-12.046,-77.0305,anonymous,EN,Somewhat likely,Male,50+,Most days,ironcoast|likelihood
2026-04-18 10:53,2026-04-18 10:53,IP Address,108.172.108.122,100,47,TRUE,2026-04-18 10:53,R_7fiU9BMb2nJd5vG,,,,,49.2155,-123.1427,anonymous,EN,Somewhat unlikely,Male,21-30,Most days,bananaboat|likelihood
2026-04-18 11:05,2026-04-18 11:05,IP Address,99.230.249.226,100,27,TRUE,2026-04-18 11:05,R_7AkccflSHpMET9D,,,,,43.6576,-79.3798,anonymous,EN,Extremely unlikely,Female,21-30,Rarely,bananaboat|likelihood
2026-04-18 11:05,2026-04-18 11:05,IP Address,97.149.28.38,100,22,TRUE,2026-04-18 11:05,R_7L12khXmbFKHGLD,,,,,39.7764,-86.1077,anonymous,EN,Extremely unlikely,Male,50+,Never,ironcoast|likelihood
